sub,roi,comparison,fold,acc
19,Foveal 2°,"('face', 'vehicle')",3,1.0
19,Foveal 2°,"('face', 'vehicle')",4,0.0
20,Foveal 2°,"('face', 'vehicle')",0,0.0
20,Foveal 2°,"('face', 'vehicle')",1,1.0
20,Foveal 2°,"('face', 'vehicle')",2,1.0
20,Foveal 2°,"('face', 'vehicle')",3,1.0
20,Foveal 2°,"('face', 'vehicle')",4,1.0
21,Foveal 2°,"('face', 'vehicle')",0,1.0
21,Foveal 2°,"('face', 'vehicle')",1,0.0
21,Foveal 2°,"('face', 'vehicle')",2,1.0
21,Foveal 2°,"('face', 'vehicle')",3,1.0
21,Foveal 2°,"('face', 'vehicle')",4,0.0
22,Foveal 2°,"('face', 'vehicle')",0,1.0
22,Foveal 2°,"('face', 'vehicle')",1,0.0
22,Foveal 2°,"('face', 'vehicle')",2,0.0
22,Foveal 2°,"('face', 'vehicle')",3,1.0
22,Foveal 2°,"('face', 'vehicle')",4,1.0
23,Foveal 2°,"('face', 'vehicle')",0,1.0
23,Foveal 2°,"('face', 'vehicle')",1,1.0
23,Foveal 2°,"('face', 'vehicle')",2,1.0
23,Foveal 2°,"('face', 'vehicle')",3,1.0
23,Foveal 2°,"('face', 'vehicle')",4,1.0
24,Foveal 2°,"('face', 'vehicle')",0,1.0
24,Foveal 2°,"('face', 'vehicle')",1,1.0
24,Foveal 2°,"('face', 'vehicle')",2,1.0
24,Foveal 2°,"('face', 'vehicle')",3,1.0
24,Foveal 2°,"('face', 'vehicle')",4,0.0
25,Foveal 2°,"('face', 'vehicle')",0,1.0
25,Foveal 2°,"('face', 'vehicle')",1,1.0
25,Foveal 2°,"('face', 'vehicle')",2,1.0
